FIPS Code,State,Area name,2003 Rural-urban Continuum Code,2003 Urban Influence Code,2013 Rural-urban Continuum Code,2013 Urban Influence Code,"Less than a high school diploma, 1970","High school diploma only, 1970","Some college (1-3 years), 1970","Four years of college or higher, 1970","Percent of adults with less than a high school diploma, 1970","Percent of adults with a high school diploma only, 1970","Percent of adults completing some college (1-3 years), 1970","Percent of adults completing four years of college or higher, 1970","Less than a high school diploma, 1980","High school diploma only, 1980","Some college (1-3 years), 1980","Four years of college or higher, 1980","Percent of adults with less than a high school diploma, 1980","Percent of adults with a high school diploma only, 1980","Percent of adults completing some college (1-3 years), 1980","Percent of adults completing four years of college or higher, 1980","Less than a high school diploma, 1990","High school diploma only, 1990","Some college or associate's degree, 1990","Bachelor's degree or higher, 1990","Percent of adults with less than a high school diploma, 1990","Percent of adults with a high school diploma only, 1990","Percent of adults completing some college or associate's degree, 1990","Percent of adults with a bachelor's degree or higher, 1990","Less than a high school diploma, 2000","High school diploma only, 2000","Some college or associate's degree, 2000","Bachelor's degree or higher, 2000","Percent of adults with less than a high school diploma, 2000","Percent of adults with a high school diploma only, 2000",,,,,,,,,,
17000,IL,Illinois,,,,,"2,885,938","1,944,720","630,845","627,825",47.4,31.9,10.4,10.3,"2,237,240","2,343,719","1,015,515","1,082,285",33.5,35.1,15.2,16.2,"1,735,789","2,187,342","1,835,803","1,534,996",23.8,30.0,25.2,21.0,"1,480,443","2,212,291","2,202,888","2,078,049",18.6,27.7,36.6,28.1,521,"1,190","2,585","3,050",7.1,16.2,35.2,41.5
18000,IN,Indiana,,,,,"1,292,237","991,710","233,791","228,676",47.1,36.1,8.5,8.3,"1,054,286","1,309,020","379,876","392,590",33.6,41.7,12.1,12.5,"850,014","1,333,093","763,422","542,941",24.4,38.2,21.9,15.6,"695,540","1,447,734","994,391","755,613",17.9,37.2,32.3,25.5,"40,752","119,769","135,512","152,229",9.1,26.7,30.2,34.0
19000,IA,Iowa,,,,,"632,366","596,649","171,454","140,119",41.0,38.7,11.1,9.1,"483,956","729,369","249,722","237,055",28.5,42.9,14.7,13.9,"353,800","684,368","439,238","299,392",19.9,38.5,24.7,16.9,"263,436","683,942","546,388","402,090",13.9,36.1,24.9,13.7,"6,050","17,383","13,946","8,312",13.2,38.0,30.5,18.2
20000,KS,Kansas,,,,,"492,098","438,583","155,828","139,479",40.1,35.8,12.7,11.4,"370,235","543,823","237,617","236,427",26.7,39.2,17.1,17.0,"293,272","514,177","428,110","330,377",18.7,32.8,27.3,21.1,"237,799","507,612","516,818","438,978",14.0,29.8,26.3,20.5,716,"4,397","4,332","3,989",5.3,32.7,32.2,29.7
26000,MI,Michigan,,,,,"2,170,415","1,546,679","444,452","432,915",47.2,33.7,9.7,9.4,"1,681,690","1,997,940","825,223","749,187",32.0,38.0,15.7,14.3,"1,356,759","1,887,449","1,584,387","1,014,047",23.2,32.3,27.1,17.4,"1,064,133","2,010,861","1,944,688","1,396,259",16.6,31.3,24.1,42.9,"29,903","95,171","104,770","258,768",6.1,19.5,21.4,53.0
27000,MN,Minnesota,,,,,"844,065","687,242","238,128","220,932",42.4,34.5,12.0,11.1,"632,148","904,382","401,890","407,281",26.9,38.6,17.1,17.4,"488,765","913,265","763,948","604,584",17.6,33.0,27.6,21.8,"381,345","912,672","1,002,246","868,082",12.1,28.8,28.6,14.3,"6,587","16,350","17,631","10,739",12.8,31.9,34.4,20.9
29000,MO,Missouri,,,,,"1,332,385","795,144","241,285","233,465",51.2,30.6,9.3,9.0,"1,064,597","1,059,240","389,304","405,515",36.5,36.3,13.3,13.9,"858,368","1,090,940","756,510","585,761",26.1,33.1,23.0,17.8,"679,095","1,189,670","981,665","784,476",18.7,32.7,15.1,10.0,"1,760","2,533","1,127",865,28.0,40.3,17.9,13.8
31000,NE,Nebraska,,,,,"327,773","299,440","99,767","77,643",40.7,37.2,12.4,9.6,"242,616","370,302","157,693","141,542",26.6,40.6,17.3,15.5,"181,072","345,778","280,537","188,662",18.2,34.7,28.2,18.9,"145,861","339,952","343,288","258,140",13.4,31.3,24.7,13.5,289,504,353,283,20.2,35.3,24.7,19.8
38000,ND,North Dakota,,,,,"158,151","87,806","45,680","26,702",49.7,27.6,14.3,8.4,"122,546","114,122","73,891","54,042",33.6,31.3,20.3,14.8,"92,427","111,215","121,269","71,639",23.3,28.0,30.6,18.1,"65,956","113,931","138,855","89,843",16.1,27.9,23.2,11.3,"10,522","15,436","15,483","7,626",21.4,31.5,31.6,15.5
39000,OH,Ohio,,,,,"2,665,837","2,010,237","496,057","528,186",46.8,35.3,8.7,9.3,"2,078,014","2,547,330","807,360","858,963",33.0,40.5,12.8,13.7,"1,684,888","2,515,987","1,548,553","1,175,336",24.3,36.3,22.4,17.0,"1,262,085","2,674,551","1,911,572","1,563,532",17.0,36.1,31.3,13.3,"1,081","2,595","2,692","1,285",14.1,33.9,35.2,16.8
46000,SD,South Dakota,,,,,"163,089","108,908","47,457","30,043",46.7,31.2,13.6,8.6,"125,056","141,375","68,936","54,624",32.1,36.3,17.7,14.0,"98,720","144,990","112,899","73,891",22.9,33.7,26.2,17.2,"73,180","156,006","143,161","102,012",15.4,32.9,28.8,15.8,"11,427","21,621","23,897","12,888",16.4,31.0,34.2,18.5
55000,WI,Wisconsin,,,,,"1,060,531","811,048","230,874","227,343",45.5,34.8,9.9,9.8,"822,293","1,093,496","388,523","401,076",30.4,40.4,14.4,14.8,"662,072","1,147,697","735,487","548,970",21.4,37.1,23.8,17.7,"518,417","1,201,813","976,375","779,273",14.9,34.6,19.7,10.4,"1,561","5,698","2,564","1,423",13.9,50.7,22.8,12.7
